Подача;Куда ехать;Важная;В пути;Завершен;Время заказа;Время на заказе;На месте;Отмена;Время подачи;Принят;Время создания;Дата заказа;Деталировка поездки;Детское кресло;Затратный центр;Источник;Категории;Километраж;Количество;Компания;Координаты;Координаты куда;Кост Код;Купон;Купон (%);НДС;#;Опции;Ответственный;Подразделение;Подразделение;Позывной;Показывать номер;Примечание;Принят водителем;Причина отказа;Район;Район куда;Расчёт;Расчёт;СЛИП;Служебная информация;СМС;Создал;Способ оплаты;Статус;Тип;ТС;Цель поездки;ID;old_uuid
Рядом с: Дунайский проспект, 55к1, подъезд 2;До пункта: улица Маршала Захарова, 20;;06.01.2018 19:40;06.01.2018 20:04;06.01.2018 19:36;0:23:48;06.01.2018 19:33;;0:01:46;06.01.2018 19:32;06.01.2018 19:32;06.01.2018 19:36;;0;;;1;;0;;30.4190571359,59.8437794252;30.179513,59.857567;;0;0;94,14;6814;2048;;;;857178;;парадная в кармане за салоном;;;;;0;06.01.2018 19:32;;;;;Безналичные;Завершен;Яндекс.Безналичный;Hyundai Solaris;;a711e887d8b14da1a47f9962bb358c2f;
Рядом с: улица Адмирала Черокова, 20;До пункта: Моравский переулок, 3к1;;06.01.2018 18:50;06.01.2018 19:19;06.01.2018 18:52;0:29:13;06.01.2018 18:47;;0:02:50;06.01.2018 18:44;06.01.2018 18:44;06.01.2018 18:52;;0;;;1;;0;;30.1370233224,59.8519270893;30.4202546556,59.8379363906;;0;0;80,82;6813;0;;;;857178;;;;;;;0;06.01.2018 18:44;;;;;Наличные;Завершен;Яндекс;Hyundai Solaris;;921b255d58f9403b8aa8ea90bdddc1dd;
Рядом с: Ленинский проспект, 111;До пункта: улица Адмирала Черокова, 20;;06.01.2018 18:25;06.01.2018 18:47;06.01.2018 18:20;0:21:16;06.01.2018 18:21;;0:05:10;06.01.2018 18:16;06.01.2018 18:16;06.01.2018 18:20;;0;;;1;;0;;30.2447806699,59.8504532965;30.1372316893,59.8518570225;;0;0;54,54;6812;2048;;;;857178;;;;;;;0;06.01.2018 18:16;;;;;Безналичные;Завершен;Яндекс.Безналичный;Hyundai Solaris;;364dcbdca4534a7eae51fb6b2e833bec;
улица Савушкина, 128;Невский просп., 85, Московский вокзал;;06.01.2018 18:02;06.01.2018 18:03;06.01.2018 18:02;0:01:12;06.01.2018 17:59;;0:06:21;06.01.2018 17:53;06.01.2018 17:53;06.01.2018 18:02;;0;;;4;;0;;30.2004354475,59.9889273348;30.36192,59.930139;;0;0;81,9;6811;0;;;;759178;;;;;;;0;06.01.2018 17:53;;;;;Наличные;Завершен;Яндекс;BMW 5er;;fdc920ff3f6744bb9d292d864ed58b60;
Всеволожск, проспект Красный Выборжец, 19;Санкт-Петербург, Лиговский проспект, 30, ТРЦ Галерея;;06.01.2018 17:17;06.01.2018 18:02;06.01.2018 17:14;0:45:00;06.01.2018 17:16;;0:12:20;06.01.2018 17:04;06.01.2018 17:04;06.01.2018 17:14;;0;;;1;;0;;30.6928998562,60.0280905885;30.360291,59.927278;;0;0;133,02;6810;2048;;;;614178;;;;;;;0;06.01.2018 17:04;;;;;Безналичные;Завершен;Яндекс.Безналичный;Chevrolet Cruze;;9984e2f77295400881fbc03c86f8c916;
Рядом с: Большая Конюшенная улица, 21-23;До пункта: посёлок Солнечное, Нагорная улица, 2А;;06.01.2018 16:49;06.01.2018 16:52;06.01.2018 16:46;0:02:16;06.01.2018 16:43;;0:02:33;06.01.2018 16:41;06.01.2018 16:41;06.01.2018 16:46;;0;;;4;;0;;30.3230506171,59.938346484;29.942474,60.147961;;0;0;77,22;6809;0;;;;759178;;;;;;;0;06.01.2018 16:41;;;;;Наличные;Завершен;Яндекс;BMW 5er;;75aed85896224e43970abef7f2384163;
Рядом с: Всеволожск, улица Шишканя;До пункта: коттеджный посёлок Рыжики, Дачная улица;;06.01.2018 12:25;06.01.2018 12:55;06.01.2018 12:22;0:30:04;06.01.2018 12:18;;0:01:39;06.01.2018 12:17;06.01.2018 12:17;06.01.2018 12:22;;0;;;1;;0;;30.6447168367,60.0367045708;30.6385743734,59.8899993279;;0;0;159,84;6808;0;;;;857178;;;;;;;0;06.01.2018 12:17;;;;;Наличные;Завершен;Яндекс;Hyundai Solaris;;fa33dd68814a44f59a6c96bfcf640e4c;
Литейный проспект;площадь Победы, 1;;;06.01.2018 6:52;06.01.2018 6:36;6:52:14;06.01.2018 6:35;;0:05:00;06.01.2018 6:31;06.01.2018 6:30;06.01.2018 6:36;;0;;;1;;0;;30.3478666395,59.9331032206;30.318518,59.842689;;0;0;16,02;6807;2048;;;;771178;;;;Reject: manual;;;0;06.01.2018 6:30;;;;;Безналичные;Отменен;Яндекс.Безналичный;Hyundai Solaris;;09f0f6cc47e44e9ab02cf50035b8a581;
Невский проспект, 50;проспект Пятилеток, 7к2;;;06.01.2018 6:30;06.01.2018 6:18;6:30:28;06.01.2018 6:17;;0:06:34;06.01.2018 6:10;06.01.2018 6:10;06.01.2018 6:18;;0;;;1;;0;;30.3352360458,59.9345429763;30.4602074787,59.9231746241;;0;0;16,02;6806;2048;;;;771178;;;;Reject: manual;;;0;06.01.2018 6:10;;;;;Безналичные;Отменен;Яндекс.Безналичный;Hyundai Solaris;;a46497befedf4a22b57ed592b54ac808;
проспект Добролюбова, 1/79;улица Восстания, 4;;06.01.2018 6:02;06.01.2018 6:12;06.01.2018 5:58;0:10:03;06.01.2018 5:59;;0:07:42;06.01.2018 5:51;06.01.2018 5:51;06.01.2018 5:58;;0;;;1;;0;;30.305526225,59.9494981612;30.359724,59.932883;;0;0;40,32;6805;2048;;;;771178;;;;;;;0;06.01.2018 5:51;;;;;Безналичные;Завершен;Яндекс.Безналичный;Hyundai Solaris;;6bbf72741a824e4284bb571b495e8484;
набережная канала Грибоедова, 30-32Ж;улица Савушкина, 121к1;;06.01.2018 5:13;06.01.2018 5:40;06.01.2018 5:12;0:26:37;06.01.2018 5:11;;0:03:19;06.01.2018 5:08;06.01.2018 5:08;06.01.2018 5:12;;0;;;1;;0;;30.3277565245,59.9321310173;30.224466051,59.9866465488;;0;0;64,8;6804;0;;;;771178;;;;;;;0;06.01.2018 5:08;;;;;Наличные;Завершен;Яндекс;Hyundai Solaris;;a3265637c0ae470a8688c7a889837cf1;
Садовая улица, 14/52;Тимуровская улица, 9;;;06.01.2018 5:06;06.01.2018 5:08;5:06:45;06.01.2018 5:06;;0:03:50;06.01.2018 5:02;06.01.2018 5:02;06.01.2018 5:08;;0;;;1;;0;;30.3355002741,59.9348152361;30.398046,60.044986;;0;0;8,82;6803;2048;;;;771178;;;;user;;;0;06.01.2018 5:02;;;;;Безналичные;Отменен;Яндекс.Безналичный;Hyundai Solaris;;1ddc14fae7a04a9b894b044dde74685e;
улица Ворошилова, 9к3;Пловдивская улица, 2;;06.01.2018 2:07;06.01.2018 2:31;06.01.2018 2:06;0:23:47;06.01.2018 2:07;;0:05:07;06.01.2018 2:02;06.01.2018 2:02;06.01.2018 2:06;;0;;;1;;0;;30.4479709472,59.9237536868;30.38087,59.840745;;0;0;62,82;6802;2048;;;;771178;;;;;;;0;06.01.2018 2:02;;;;;Безналичные;Завершен;Яндекс.Безналичный;Hyundai Solaris;;890f1d2de25243b294e6fd38d719f555;
улица Восстания, 35;проспект Пятилеток, 18к1;;06.01.2018 1:41;06.01.2018 1:58;06.01.2018 1:42;0:16:23;06.01.2018 1:40;;0:03:14;06.01.2018 1:37;06.01.2018 1:37;06.01.2018 1:42;;0;;;1;;0;;30.3607676901,59.9393684221;30.449313,59.924429;;0;0;40,14;6801;0;;;;771178;;;;;;;0;06.01.2018 1:37;;;;;Наличные;Завершен;Яндекс;Hyundai Solaris;;b0cd8f0f4ba24c99adc5c9d6c1ee161b;
Рядом с: Невский проспект, 51;До пункта: Мариинский проезд, 12;;06.01.2018 1:20;06.01.2018 1:30;06.01.2018 1:19;0:10:06;06.01.2018 1:12;;0:03:42;06.01.2018 1:08;06.01.2018 1:08;06.01.2018 1:19;;0;;;1;;0;;30.3489834514,59.9322990218;30.379729,59.943859;;0;0;27,36;6800;0;;;;771178;;;;;;;0;06.01.2018 1:08;;;;;Наличные;Завершен;Яндекс;Hyundai Solaris;;fe6bbd04ef254cd4955b51889cf8d10a;
улица Академика Павлова, 7;Кировск,;;;06.01.2018 1:01;06.01.2018 1:06;1:01:33;;;1:01:18;06.01.2018 1:01;06.01.2018 1:01;06.01.2018 1:06;;0;;;4;;0;;30.3141044325,59.9775734223;33.663638,67.615094;;0;0;0;6799;0;;;;804178;;;;user;;;0;06.01.2018 1:01;;;;;Наличные;Отменен;Яндекс;BMW 5er;;84d5e1ceabdf4666a4852de5abe1b022;
Конюшенная площадь, 2В;площадь Восстания, 2, Вокзал Московский вокзал;;06.01.2018 0:06;06.01.2018 0:15;06.01.2018 0:06;0:08:55;06.01.2018 0:04;;0:02:02;06.01.2018 0:02;06.01.2018 0:02;06.01.2018 0:06;;0;;;1;;0;;30.3265982109,59.9402346393;30.360541,59.931621;;0;0;25,02;6798;2048;;;;537178;;;;;;;0;06.01.2018 0:02;;;;;Безналичные;Завершен;Яндекс.Безналичный;BMW 5er;;cf5e2e4b7dca44bc8f015f4716309e44;
Московский вокзал;улица Ушинского, 15к1;;06.01.2018 0:06;06.01.2018 0:36;06.01.2018 0:04;0:30:10;06.01.2018 0:00;;0:00:19;06.01.2018 0:00;06.01.2018 0:00;06.01.2018 0:04;;0;;;1;;0;;30.362033,59.929912;30.409706,60.032461;;0;0;68,76;6797;0;;;;771178;;;;;;;0;06.01.2018 0:00;;;;;Наличные;Завершен;Яндекс;Hyundai Solaris;;8eaeb6b2dd5143208e04f711c3bc8268;
Дунайский проспект, 5к5;Московский вокзал;;05.01.2018 23:35;05.01.2018 23:59;05.01.2018 23:32;0:24:01;05.01.2018 23:31;;0:04:43;05.01.2018 23:26;05.01.2018 23:26;05.01.2018 23:32;;0;;;1;;0;;30.3309855094,59.8288587949;30.3621829067,59.9280891597;;0;0;60,48;6796;2048;;;;771178;;;;;;;0;05.01.2018 23:26;;;;;Безналичные;Завершен;Яндекс.Безналичный;Hyundai Solaris;;65a58abe31434e379797ad8cca3fb749;
бульвар Алексея Толстого, 13к5;Санкт-Петербург, Альпийский переулок, 30;;05.01.2018 22:50;05.01.2018 23:11;05.01.2018 22:42;0:20:54;05.01.2018 22:38;;0:01:15;05.01.2018 22:37;05.01.2018 22:37;05.01.2018 22:42;;0;;;1;;0;;30.4186126279,59.7320847842;30.387473,59.854359;;0;0;87,12;6795;0;;;;614178;;;;;;;0;05.01.2018 22:37;;;;;Наличные;Завершен;Яндекс;Chevrolet Cruze;;00584f97341c40819a580cccd60bdb1c;
аэропорт Пулково;Пушкин, Оранжерейная улица, 73;;05.01.2018 22:21;05.01.2018 22:36;05.01.2018 22:22;0:14:28;05.01.2018 22:17;;0:06:02;05.01.2018 22:11;05.01.2018 22:11;05.01.2018 22:22;;0;;;1;;0;;30.271743,59.799919;30.421699,59.728515;;0;0;81,54;6794;0;;;;614178;;;;;;;0;05.01.2018 22:11;;;;;Наличные;Завершен;Яндекс;Chevrolet Cruze;;a3978e063c62429dbe1d43a268c1bba2;
Люблинский переулок, 2;Пушкин, Ленинградская улица;;05.01.2018 20:24;05.01.2018 21:05;05.01.2018 20:22;0:41:06;05.01.2018 20:19;;0:01:07;05.01.2018 20:18;05.01.2018 20:18;05.01.2018 20:22;;0;;;1;;0;;30.2927255897,59.9170569719;30.4281679318,59.7231475061;;0;0;129,24;6793;0;;;;614178;;;;;;;0;05.01.2018 20:18;;;;;Наличные;Завершен;Яндекс;Chevrolet Cruze;;a6d7542306fe4759bcbc82a386799678;
Военная улица;улица Одоевского, 28;;05.01.2018 20:26;05.01.2018 20:55;05.01.2018 20:14;0:28:46;05.01.2018 20:11;;0:01:23;05.01.2018 20:10;05.01.2018 20:10;05.01.2018 20:14;;0;;;4;;0;;30.3660922316,59.9249650817;30.241272,59.947649;;0;0;180,54;6792;2048;;;;805178;;;;;;;0;05.01.2018 20:10;;;;;Безналичные;Завершен;Яндекс.Безналичный;BMW 5er;;20331bfea46d4bf59641f09f81338fce;
улица Шелгунова, 22;набережная Обводного канала, 219-221, Банный дом Волна;;05.01.2018 19:18;05.01.2018 19:47;05.01.2018 19:20;0:29:18;05.01.2018 19:17;;0:02:17;05.01.2018 19:15;05.01.2018 19:15;05.01.2018 19:20;;0;;;1;;0;;30.4483087454,59.8645735346;30.275193,59.909862;;0;0;74,34;6791;2048;;;;614178;;;;;;;0;05.01.2018 19:15;;;;;Безналичные;Завершен;Яндекс.Безналичный;Chevrolet Cruze;;fa7a7ef8df7f471e9e0492b878469fda;
Витебский проспект;1 линия, метро Технологический институт-1;;;05.01.2018 18:52;05.01.2018 18:58;18:52:47;;;18:52:32;;05.01.2018 18:52;05.01.2018 18:58;;0;;;4;;0;;30.3748573177,59.8292714995;30.318545,59.916342;;0;0;0;6789;2048;;;;537178;;;;Reject: autocancel;;;0;05.01.2018 18:52;;;;;Безналичные;Отменен;Яндекс.Безналичный;BMW 5er;;79c5e7f499a649bbb891600cb2e34bb5;
Витебский проспект;1 линия, метро Технологический институт-1;;;05.01.2018 18:53;05.01.2018 18:58;18:53:39;;;18:53:26;;05.01.2018 18:53;05.01.2018 18:58;;0;;;4;;0;;30.3748573177,59.8292714995;30.318545,59.916342;;0;0;0;6790;2048;;;;537178;;;;Reject: autocancel;;;0;05.01.2018 18:53;;;;;Безналичные;Отменен;Яндекс.Безналичный;BMW 5er;;36186c3111ec4c9b9a8f2395a1433b58;
Рядом с: Мурманское шоссе, 12-й километр, 1;До пункта: Санкт-Петербург, шоссе Революции, 21к2;;;05.01.2018 18:23;05.01.2018 18:34;18:23:46;;;18:23:42;;05.01.2018 18:23;05.01.2018 18:34;;0;;;1;;0;;30.5115114803,59.891471015;30.4234517203,59.9583658178;;0;0;0;6787;2048;;;;614178;;;;requestconfirm status 410;;;0;05.01.2018 18:23;;;;;Безналичные;Отменен;Яндекс.Безналичный;Chevrolet Cruze;;af88a31606f14f39964d82249649e8f3;
Рядом с: Мурманское шоссе, 12-й километр, 1;До пункта: Санкт-Петербург, бульвар Красных Зорь, 7;;05.01.2018 18:35;05.01.2018 18:51;05.01.2018 18:32;0:16:00;05.01.2018 18:33;;0:08:44;05.01.2018 18:25;05.01.2018 18:25;05.01.2018 18:32;;0;;;1;;0;;30.5119396799,59.8917712215;30.440675245,59.8718891723;;0;0;34,02;6788;0;;;;614178;;;;;;;0;05.01.2018 18:25;;;;;Наличные;Завершен;Яндекс;Chevrolet Cruze;;82b8cb74b74847dd88d1e862bb52e940;
Рядом с: территория Пороховые;До пункта: деревня Кудрово, Мурманское шоссе, 12-й километр, 1, Мега Дыбенко;;05.01.2018 18:10;05.01.2018 18:23;05.01.2018 18:04;0:13:26;05.01.2018 18:04;;0:04:35;05.01.2018 18:00;05.01.2018 18:00;05.01.2018 18:04;;0;;;1;;0;;30.4857000408,59.965554374;30.515092,59.893704;;0;0;57,42;6786;2048;;;;614178;;;;;;;0;05.01.2018 18:00;;;;;Безналичные;Завершен;Яндекс.Безналичный;Chevrolet Cruze;;3fcc2a4b41cb42f287048e0cf73cca35;
Рядом с: Московский район, улица Победы, 18;До пункта: Конная улица, 5/3, Grey's;;;05.01.2018 17:12;05.01.2018 17:16;17:12:19;;;17:12:11;;05.01.2018 17:12;05.01.2018 17:16;;0;;;4;;0;;30.3230564307,59.8634213838;30.374851,59.928316;;0;0;0;6785;6144;;;;499178;;;;Reject: manual;;;0;05.01.2018 17:12;;;;;Безналичные;Отменен;Яндекс.Безналичный;Mercedes-Benz E-klasse;;f4da70b19ffe409c9a9110638901c652;
Рядом с: проспект Энгельса, 111А;До пункта: проспект Космонавтов, 63к1;;05.01.2018 17:20;05.01.2018 18:09;05.01.2018 17:08;0:49:13;05.01.2018 17:16;;0:11:54;05.01.2018 17:04;05.01.2018 17:04;05.01.2018 17:08;;0;;;2;;0;;30.3229932011,60.0360222218;30.357388,59.838602;;0;0;249,48;6784;0;;;;537178;;;;;;;0;05.01.2018 17:04;;;;;Наличные;Завершен;Яндекс;BMW 5er;;116394ce6c944d20bcf87ab5221edef7;
Санкт-Петербург, Пулковское шоссе, 60к1;Санкт-Петербург, Невский проспект, 97;;05.01.2018 16:19;05.01.2018 16:52;05.01.2018 16:20;0:33:43;05.01.2018 16:17;;0:01:28;05.01.2018 16:15;05.01.2018 16:15;05.01.2018 16:20;;0;;;1;;0;;30.3296243422,59.7935577449;30.366892,59.930043;;0;0;90,9;6783;0;;;;857178;;;;;;;0;05.01.2018 16:15;;;;;Наличные;Завершен;Яндекс;Hyundai Solaris;;a5a5f133ff0c4862b9abd3c480564d89;
территория Пулковское;Санкт-Петербург, Пулковское шоссе, 60к1Е;;05.01.2018 16:09;05.01.2018 16:16;05.01.2018 16:10;0:06:55;05.01.2018 16:09;;0:05:09;05.01.2018 16:03;05.01.2018 16:03;05.01.2018 16:10;;0;;;1;;0;;30.3593353254,59.763154341;30.331202,59.793454;;0;0;38,34;6782;2048;;;;857178;;;;;;;0;05.01.2018 16:03;;;;;Безналичные;Завершен;Яндекс.Безналичный;Hyundai Solaris;;92382298cb6c43e19056c0035c18ce6e;
Московский проспект;посёлок Шушары, территория Пулковское, Петербургское шоссе, 62к1;;05.01.2018 15:43;05.01.2018 15:59;05.01.2018 15:44;0:16:28;05.01.2018 15:43;;0:02:14;05.01.2018 15:40;05.01.2018 15:40;05.01.2018 15:44;;0;;;1;;0;;30.3216968427,59.8529685545;30.359149,59.762578;;0;0;53,1;6781;2048;;;;857178;;;;;;;0;05.01.2018 15:40;;;;;Безналичные;Завершен;Яндекс.Безналичный;Hyundai Solaris;;fb520afd07684e6c8eca2041330e831a;
коттеджный поселок Янино, Луговая улица, 8;Санкт-Петербург, Пулковское шоссе, 14Б;;05.01.2018 15:12;05.01.2018 15:37;05.01.2018 15:16;0:24:48;05.01.2018 15:12;;0:05:49;05.01.2018 15:06;05.01.2018 15:06;05.01.2018 15:16;;0;;;1;;0;;30.5692631755,59.9608674966;30.324285,59.831942;;0;0;128,34;6780;2048;;;;857178;;;;;;;0;05.01.2018 15:06;;;;;Безналичные;Завершен;Яндекс.Безналичный;Hyundai Solaris;;4e33205acf624c1c898da474d23b674e;
Рядом с: поселок Воейково, 2;До пункта: городской посёлок Янино-1, Шоссейная ул., 6А, Петро Спорт Отель;;05.01.2018 14:29;05.01.2018 14:44;05.01.2018 14:26;0:15:08;05.01.2018 14:24;;0:05:06;05.01.2018 14:19;05.01.2018 14:19;05.01.2018 14:26;;0;;;1;;0;;30.705543004,59.951077364;30.54854,59.944527;;0;0;65,16;6779;0;;;;857178;;;;;;;0;05.01.2018 14:19;;;;;Наличные;Завершен;Яндекс;Hyundai Solaris;;83b0f02a9b07424b89549f110784a522;
Гороховая улица, 17/56;улица Лассаля, 4А;;05.01.2018 12:56;05.01.2018 13:36;05.01.2018 12:56;0:40:09;05.01.2018 12:55;;0:04:29;05.01.2018 12:51;05.01.2018 12:51;05.01.2018 12:56;;0;;;4;;0;;30.3162988532,59.9322452168;30.0810451139,59.821627192;;0;0;263,34;6778;0;;;;215178;;;;;;;0;05.01.2018 12:51;;;;;Наличные;Завершен;Яндекс;BMW 5er;;2fc48d2b7d4f4d02a4bed1d22678fb02;
территория Горелово, Красносельское шоссе, 54к3;Пулковское шоссе, 25к1, ТРК Лето;;05.01.2018 10:14;05.01.2018 10:28;05.01.2018 10:04;0:14:20;05.01.2018 10:04;;0:05:56;05.01.2018 9:58;05.01.2018 9:58;05.01.2018 10:04;;0;;;1;;0;;30.1490283898,59.7919136234;30.31604,59.81942;;0;0;82,26;6777;0;;;;771178;;;;;;;0;05.01.2018 9:58;;;;;Наличные;Завершен;Яндекс;Hyundai Solaris;;a460491748334a7b9741544cd126083d;
Невский проспект, 85;Рюхина улица, 9к2А, Санкт-Петербург, Крестовский остров, Рюхина ул., 9А, Parklane;;05.01.2018 8:50;05.01.2018 9:06;05.01.2018 8:44;0:15:58;05.01.2018 8:44;;0:05:12;05.01.2018 8:39;05.01.2018 8:39;05.01.2018 8:44;;0;;;4;;0;;30.3618293044,59.9304045308;30.254079,59.969699;;0;0;144,9;6776;2048;;;;472178;;;;;;;0;05.01.2018 8:39;;;;;Безналичные;Завершен;Яндекс.Безналичный;BMW 5er;;310f8d2099ec4549912e691fa89f9ec1;
территория Славянка, Колпинское шоссе, 24к1;Ломоносовский район, Виллозское городское поселение, территория Южная часть производственной зоны Горелово, Волхонское шоссе, 33;;05.01.2018 8:35;05.01.2018 9:05;05.01.2018 8:24;0:30:10;05.01.2018 8:22;;0:02:53;05.01.2018 8:20;05.01.2018 8:20;05.01.2018 8:24;;0;;;1;;0;;30.4680049828,59.7338161628;30.225776,59.77617;;0;0;95,94;6775;4096;;;;771178;;;;;;;0;05.01.2018 8:20;;;;;Наличные;Завершен;Яндекс;Hyundai Solaris;;5c573633c71a4b09b3599c809f75d492;
Литейный проспект, 61;посёлок Шушары, территория Славянка, Ростовская улица, 27;;05.01.2018 7:30;05.01.2018 8:03;05.01.2018 7:30;0:33:03;05.01.2018 7:30;;0:03:32;05.01.2018 7:26;05.01.2018 7:26;05.01.2018 7:30;;0;;;1;;0;;30.3479345303,59.933690634;30.48211,59.745531;;0;0;139,86;6774;2048;;;;771178;;;;;;;0;05.01.2018 7:26;;;;;Безналичные;Завершен;Яндекс.Безналичный;Hyundai Solaris;;e46885335ba9464aae69a60dd543b781;
Рядом с: Невский проспект, 61;До пункта: Лахтинский проспект, 2к3;;;05.01.2018 7:26;05.01.2018 7:26;7:26:27;;;7:22:45;05.01.2018 7:22;05.01.2018 7:22;05.01.2018 7:26;;0;;;1;;0;;30.3522395005,59.9319229448;30.1732576171,59.9877938387;;0;0;0;6773;2048;;;;771178;;;;user;;;0;05.01.2018 7:22;;;;;Безналичные;Отменен;Яндекс.Безналичный;Hyundai Solaris;;9aba3eea693e4b028df3e13f9725c14d;
Рядом с: Садовая улица;До пункта: проспект Пархоменко, 37;;;05.01.2018 7:18;05.01.2018 7:22;7:18:40;;;7:18:39;;05.01.2018 7:18;05.01.2018 7:22;;0;;;1;;0;;30.3352347106,59.9345958052;30.3536795049,59.9971769187;;0;0;0;6772;2048;;;;771178;;;;user;;;0;05.01.2018 7:18;;;;;Безналичные;Отменен;Яндекс.Безналичный;Hyundai Solaris;;730b450450f746c494a60204565e93c7;
Рядом с: площадь Восстания;До пункта: Мучной переулок, 5;;05.01.2018 7:05;05.01.2018 7:16;05.01.2018 7:08;0:10:11;05.01.2018 7:04;;0:01:41;05.01.2018 7:03;05.01.2018 7:03;05.01.2018 7:08;;0;;;1;;0;;30.3615840266,59.9304296065;30.322619,59.930139;;0;0;23,22;6771;0;;;;771178;;;;;;;0;05.01.2018 7:03;;;;;Наличные;Завершен;Яндекс;Hyundai Solaris;;1347c16b1446448ab582b0496a54f678;
Садовая улица, 35;8-я Советская улица, 41;;05.01.2018 6:46;05.01.2018 6:57;05.01.2018 6:48;0:10:22;05.01.2018 6:45;;0:01:49;05.01.2018 6:44;05.01.2018 6:44;05.01.2018 6:48;;0;;;1;;0;;30.3198814896,59.9276117909;30.3781420564,59.935053665;;0;0;26,64;6770;0;;;;771178;;;;;;;0;05.01.2018 6:44;;;;;Наличные;Завершен;Яндекс;Hyundai Solaris;;26b6ccc517764201a242c5e620e6e448;
Садовая улица;Кронштадт, улица Мануильского, 2;;05.01.2018 6:40;05.01.2018 6:43;05.01.2018 6:28;0:02:12;05.01.2018 6:28;;0:04:12;05.01.2018 6:23;05.01.2018 6:23;05.01.2018 6:28;;0;;;1;;0;;30.32732999,59.9308320444;29.793111,59.991453;;0;0;25,02;6769;0;;;;771178;;;;;;;0;05.01.2018 6:23;;;;;Наличные;Завершен;Яндекс;Hyundai Solaris;;7117032cfc39451cb48b0dad99d90332;
Клинский проспект, 21;Расстанная улица, 2к1;;05.01.2018 5:49;05.01.2018 5:55;05.01.2018 5:50;0:06:03;05.01.2018 5:48;;0:02:09;05.01.2018 5:46;05.01.2018 5:46;05.01.2018 5:50;;0;;;1;;0;;30.3212792127,59.9147062375;30.3397739476,59.9094278869;;0;0;20,7;6768;0;;;;771178;;;;;;;0;05.01.2018 5:46;;;;;Наличные;Завершен;Яндекс;Hyundai Solaris;;c8bc6103a34d4bb690e1ed548bc77f77;
Ждановская улица, 45;аэропорт Пулково, Международный аэропорт Пулково;;05.01.2018 3:46;05.01.2018 4:20;05.01.2018 3:46;0:33:42;05.01.2018 3:45;;0:03:47;05.01.2018 3:41;05.01.2018 3:41;05.01.2018 3:46;;0;;;1;;0;;30.2683593033,59.9623839394;30.269833,59.800097;;0;0;131,04;6767;0;;;;771178;;;;;;;0;05.01.2018 3:41;;;;;Наличные;Завершен;Яндекс;Hyundai Solaris;;82f5c5cb704d422fac046cbd92290fcf;
улица Чайковского, 2/7;Пионерская улица, 35;;05.01.2018 3:29;05.01.2018 3:40;05.01.2018 3:28;0:10:38;05.01.2018 3:24;;0:02:57;05.01.2018 3:21;05.01.2018 3:21;05.01.2018 3:28;;0;;;1;;0;;30.3394752122,59.9465743221;30.288173,59.958769;;0;0;40,5;6766;6144;;;;771178;;;;;;;0;05.01.2018 3:21;;;;;Безналичные;Завершен;Яндекс.Безналичный;Hyundai Solaris;;3356980f21e14d3e9678be873ca2c105;
Рядом с: Невский проспект;До пункта: Моховая улица, 27-29;;05.01.2018 3:12;05.01.2018 3:21;05.01.2018 3:14;0:08:28;05.01.2018 3:12;;0:02:00;05.01.2018 3:10;05.01.2018 3:10;05.01.2018 3:14;;0;;;1;;0;;30.3311307878,59.934668996;30.344947,59.94202;;0;0;34,74;6765;2048;;;;771178;;;;;;;0;05.01.2018 3:10;;;;;Безналичные;Завершен;Яндекс.Безналичный;Hyundai Solaris;;0d52f35abf56401ab8987e43f8080dac;
улица Коллонтай, 21к1;1 линия, метро Девяткино;;;05.01.2018 2:35;05.01.2018 2:44;2:35:29;;;2:35:28;;05.01.2018 2:35;05.01.2018 2:44;;0;;;4;;0;;30.468784487,59.9185076698;30.442611,60.050336;;0;0;0;6764;0;;;;537178;;;;user;;;0;05.01.2018 2:35;;;;;Наличные;Отменен;Яндекс;BMW 5er;;fd640329bee74a89a0111c7dceaaa608;
Рядом с: Кушелевская дорога, 5к2;До пункта: Луга, Нижегородская улица, 64;;;05.01.2018 1:56;05.01.2018 2:06;1:56:09;;;1:53:53;05.01.2018 1:53;05.01.2018 1:53;05.01.2018 2:06;;0;;;4;;0;;30.3736256898,59.9886048846;29.8335122075,58.7363341054;;0;0;0;6763;6144;;;;499178;;;;user;;;0;05.01.2018 1:53;;;;;Безналичные;Отменен;Яндекс.Безналичный;Mercedes-Benz E-klasse;;d56b4ca2806545cab688ba2a75dd3f3f;
Рядом с: улица Галстяна, 1;До пункта: Варшавская улица, 51к1;;05.01.2018 1:38;05.01.2018 1:47;05.01.2018 1:34;0:09:07;05.01.2018 1:32;;0:01:56;05.01.2018 1:30;05.01.2018 1:30;05.01.2018 1:34;;0;;;1;;0;;30.3143495799,59.8406907823;30.3138236555,59.857240939;;0;0;28,8;6762;0;;;;614178;;;;;;;0;05.01.2018 1:30;;;;;Наличные;Завершен;Яндекс;Chevrolet Cruze;;cae19968f9534f028ca18812f9f00213;
Рядом с: Московский проспект;До пункта: Расстанная улица, 2к1;;;05.01.2018 1:28;05.01.2018 1:32;1:28:24;;;1:28:21;;05.01.2018 1:28;05.01.2018 1:32;;0;;;1;;0;;30.321795182,59.8471199404;30.3397024871,59.9094360154;;0;0;0;6761;2048;;;;614178;;;;user;;;0;05.01.2018 1:28;;;;;Безналичные;Отменен;Яндекс.Безналичный;Chevrolet Cruze;;4e5b3aa3d47143d7b0800e5142e67540;
